X,sin(x)
-3.141592653589793,-2.1142567558314672E-5
-3.041592653589793,-0.09984646009288242
-2.941592653589793,-0.198677247628074
-2.841592653589793,-0.2955249288961099
-2.7415926535897928,-0.3894211069617704
-2.6415926535897927,-0.4794271250693808
-2.5415926535897926,-0.564643364333297
-2.4415926535897925,-0.6442005777213428
-2.3415926535897924,-0.7173461343667652
-2.2415926535897923,-0.783321252022226
-2.1415926535897922,-0.8414678524589374
-2.041592653589792,-0.891205674500664
-1.941592653589792,-0.932038206910177
-1.841592653589792,-0.9635577425707976
-1.7415926535897919,-0.9854607163132799
-1.6415926535897918,-0.9975007316417752
-1.5415926535897917,-0.9995764865327226
-1.4415926535897916,-0.9916661919356283
-1.3415926535897915,-0.9738482584666794
-1.2415926535897914,-0.9463003558100392
-1.1415926535897913,-0.9092975334475604
-1.0415926535897913,-0.86320542894168
-0.9415926535897913,-0.8084948134066245
-0.8415926535897913,-0.7457046322652372
-0.7415926535897913,-0.6754629945324296
-0.6415926535897913,-0.5984720935276095
-0.5415926535897914,-0.51550136080266
-0.4415926535897914,-0.4273798784772646
-0.3415926535897914,-0.3349882576601108
-0.2415926535897914,-0.23924933873763246
-0.1415926535897914,-0.14112000828619095
-0.04159265358979139,-0.04158066243333145
0.058407346410208616,0.05837414342804183
0.15840734641020862,0.15774569463966573
0.2584073464102086,0.2555411172779181
0.35840734641020866,0.3507833781538179
0.45840734641020864,0.44252044083634523
0.5584073464102086,0.5298361264018596
0.6584073464102086,0.6118578271194807
0.7584073464102086,0.6877659316264034
0.8584073464102085,0.7568018025642629
0.9584073464102085,0.818275246540958
1.0584073464102086,0.8715758188557456
1.1584073464102087,0.9161660619455058
1.2584073464102088,0.9516023846889528
1.3584073464102089,0.9775308372004627
1.458407346410209,0.9936925725861326
1.558407346410209,0.9999265054405875
1.6584073464102091,0.9961710331039647
1.7584073464102092,0.9824648191513041
1.8584073464102093,0.9589237764203681
1.9584073464102094,0.9258136992981248
2.0584073464102093,0.8834527811039585
2.1584073464102094,0.8322639758337548
2.2584073464102095,0.7727582549340348
2.3584073464102095,0.7055294025145605
2.4584073464102096,0.6312479388785295
2.5584073464102097,0.5506865258586341
2.65840734641021,0.46460392373154835
2.75840734641021,0.37387969402703825
2.85840734641021,0.27942065560932583
2.95840734641021,0.18217112467673022
3.05840734641021,0.08310356551627517
